"","","","Year","Flow",""
"","Saudi Arabia [SA]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","212 986","150 904","62 082"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","304 781","303 762","1 019"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","13 330 454","13 330 441","12"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","5 631 980","5 631 479","502"
"","","[854233] Electronic integrated circuits; amplifiers","24 687","24 687",""
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","279 635","279 635",""
"","","[854290] Parts of electronic integrated circuits","43 275","43 275",""
"","Senegal [SN]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","77","","77"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","42 875","42 840","36"
"","SERBIA [RS]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","56 686","2 434","54 252"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","4 239","4 239",""
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","34 232","34 207","25"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","1 174 148","1 174 148",""
"","","[854232] Electronic integrated circuits; memories","172 963","172 963",""
"","","[854233] Electronic integrated circuits; amplifiers","27 423","27 423",""
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","2 124 654","2 108 145","16 510"
"","","[854290] Parts of electronic integrated circuits","445 451","445 451",""
"","Seychelles [SC]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","110 194","106 248","3 946"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","893","893",""
"","","[854290] Parts of electronic integrated circuits","10 297","10 297",""
"","Sierra Leone [SL]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","534","","534"
"","Slovakia [SK]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","696 629","545 385","151 244"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","10 353","1 903","8 451"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","2 394","2 394",""
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","745 743","720 846","24 897"
"","","[854232] Electronic integrated circuits; memories","1 839 667","1 838 838","829"
"","","[854233] Electronic integrated circuits; amplifiers","92 154","91 504","650"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","5 947 852","5 898 838","49 014"
"","","[854290] Parts of electronic integrated circuits","151 620","","151 620"
"","Slovenia [SI]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","236 087","107 608","128 479"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","91 355","89 877","1 478"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","724 474","629 013","95 461"
"","","[854232] Electronic integrated circuits; memories","71 754","71 306","447"
"","","[854233] Electronic integrated circuits; amplifiers","21 598","21 053","545"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","130 584","121 985","8 599"
"","","[854290] Parts of electronic integrated circuits","337 793","","337 793"
"","Solomon Islands [SB]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","273","","273"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","4 525","4 525",""
"","South Africa [ZA]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","69 442","67 504","1 938"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","99 423","99 090","334"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","2 543 444","2 543 377","67"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","2 252 500","2 226 042","26 457"
"","","[854232] Electronic integrated circuits; memories","182 350","182 345","5"
"","","[854233] Electronic integrated circuits; amplifiers","121 106","121 106",""
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","888 085","887 873","212"
"","","[854290] Parts of electronic integrated circuits","8 379","8 379",""
"","South Sudan [SS]","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","2 137","2 137",""
"","Spain [ES]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","874 555","513 694","360 861"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","107 488","102 496","4 992"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","1 981 491","1 951 614","29 877"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","5 183 207","4 798 528","384 679"
"","","[854232] Electronic integrated circuits; memories","37 137","11 061","26 075"
"","","[854233] Electronic integrated circuits; amplifiers","421 893","420 258","1 635"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","2 255 953","2 216 433","39 519"
"","","[854290] Parts of electronic integrated circuits","410 263","12 044","398 219"
"","Sri Lanka [LK]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","1 767 655","1 643 365","124 290"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","526 943","526 943",""
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","22 815","22 815",""
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","1 852 905","1 852 600","305"
"","","[854232] Electronic integrated circuits; memories","462 813","462 813",""
"","","[854233] Electronic integrated circuits; amplifiers","130 720","130 720",""
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","2 388 302","2 385 801","2 501"
"","","[854290] Parts of electronic integrated circuits","267 391","253 814","13 577"
"","St Kitts and Nevis [KN]","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","1 244 613","1 244 613",""
