"","","","Year","Flow",""
"","Congo (Dem. Rep. of) [CD]","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","352","352",""
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","13","","13"
"","Congo [CG]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","2 221","2 221",""
"","Cook Islands [CK]","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","12","","12"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","812","","812"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","397","","397"
"","","[854290] Parts of electronic integrated circuits","106","106",""
"","Costa Rica [CR]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","15 264 276","8 696 924","6 567 352"
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","43 222","5 021","38 201"
"","","[852352] Semiconductor media; smart cards,  whether or not recorded, excluding products of Chapter 37","5 760","4 054","1 705"
"","","[854231] Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","4 094 822 588","591 627 486","3 503 195 102"
"","","[854232] Electronic integrated circuits; memories","316 899","264 544","52 356"
"","","[854233] Electronic integrated circuits; amplifiers","85 439","78 660","6 779"
"","","[854239] Electronic integrated circuits; n.e.c. in heading no. 8542","38 500 507","22 281 395","16 219 112"
"","","[854290] Parts of electronic integrated circuits","44 969 924","38 800 973","6 168 950"
"","Côte d'Ivoire [CI]","[847330] Machinery; parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471","10 522","10 522",""
"","","[852351] Semiconductor media; solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37","297","297",""
